metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1699081593,1.000000,,,,true,::GET Hello,GET,http://host.docker.internal:3001/hello,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/hello,,
http_req_duration,1699081593,1.475072,,,,true,::GET Hello,GET,http://host.docker.internal:3001/hello,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/hello,,
http_req_blocked,1699081593,0.824017,,,,true,::GET Hello,GET,http://host.docker.internal:3001/hello,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/hello,,
http_req_connecting,1699081593,0.426133,,,,true,::GET Hello,GET,http://host.docker.internal:3001/hello,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/hello,,
http_req_tls_handshaking,1699081593,0.000000,,,,true,::GET Hello,GET,http://host.docker.internal:3001/hello,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/hello,,
http_req_sending,1699081593,0.031542,,,,true,::GET Hello,GET,http://host.docker.internal:3001/hello,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/hello,,
http_req_waiting,1699081593,1.400571,,,,true,::GET Hello,GET,http://host.docker.internal:3001/hello,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/hello,,
http_req_receiving,1699081593,0.042959,,,,true,::GET Hello,GET,http://host.docker.internal:3001/hello,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/hello,,
http_req_failed,1699081593,0.000000,,,,true,::GET Hello,GET,http://host.docker.internal:3001/hello,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/hello,,
checks,1699081593,1.000000,is status 200,,,,::GET Hello,,,,default,,,,,,,
group_duration,1699081593,2.402007,,,,,::GET Hello,,,,default,,,,,,,
http_reqs,1699081593,1.000000,,,,true,::GET Token,GET,http://host.docker.internal:3001/token,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/token,,
http_req_duration,1699081593,3.713409,,,,true,::GET Token,GET,http://host.docker.internal:3001/token,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/token,,
http_req_blocked,1699081593,0.002250,,,,true,::GET Token,GET,http://host.docker.internal:3001/token,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/token,,
http_req_connecting,1699081593,0.000000,,,,true,::GET Token,GET,http://host.docker.internal:3001/token,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/token,,
http_req_tls_handshaking,1699081593,0.000000,,,,true,::GET Token,GET,http://host.docker.internal:3001/token,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/token,,
http_req_sending,1699081593,0.005625,,,,true,::GET Token,GET,http://host.docker.internal:3001/token,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/token,,
http_req_waiting,1699081593,3.670366,,,,true,::GET Token,GET,http://host.docker.internal:3001/token,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/token,,
http_req_receiving,1699081593,0.037418,,,,true,::GET Token,GET,http://host.docker.internal:3001/token,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/token,,
http_req_failed,1699081593,0.000000,,,,true,::GET Token,GET,http://host.docker.internal:3001/token,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/token,,
checks,1699081593,1.000000,is status 200,,,,::GET Token,,,,default,,,,,,,
group_duration,1699081593,3.785702,,,,,::GET Token,,,,default,,,,,,,
http_reqs,1699081593,1.000000,,,,true,::Load MockData,GET,http://host.docker.internal:3001/datamock,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/datamock,,
http_req_duration,1699081593,79.459194,,,,true,::Load MockData,GET,http://host.docker.internal:3001/datamock,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/datamock,,
http_req_blocked,1699081593,0.001875,,,,true,::Load MockData,GET,http://host.docker.internal:3001/datamock,HTTP/1.1,default,,200,,,http://host.docker.internal:3001/datamock,,
